ID,AbilityUsed,AlertPercent,AssistNum,BattleDamage,BattleNum,CHPrecision,DamageTaken,ExposePercent,HeroId,HitDistance,KillNum,LifeTime,PlayerScore,Precision,RotationMaxRange,RotationSpeed,RotationStability,SelfHealing,TeamRank,TotalCausedDamage,TravelSpeed,WeaponChange,WeaponDiversity,WeaponVariance,t_battle,isCheater,group
2856469-29087309_coghd0v1ha8chrukb200_1713444483_2.2.0.1.800287,0.1441043814382849,0.6601628078312016,0,143.5,2,0.03,375.0,0.2034584586398057,100027,1043.933,1,109.68,5.93,0.345,45.00000000000001,61.53000471298948,113.029328415538,0.0,21,383.0,60.35606043484138,4,2,0.0038112425003186,13.888499999999992,1,26117
2856469-41313717_cokgnljuk65poe2eq1i0_1713966038_2.2.0.2.801109,0.0116626236238104,0.728204774481535,1,192.655,8,0.06875,737.17,0.1689309196420532,100029,1327.1683050527902,5,723.19,35.32,0.3825,14.25,29.65468122248104,65.1935646394388,143.0,3,1541.2,186.3609505000756,11,3,0.0374109235024627,15.803125,1,49525
2856469-16011851_cojc4k3uk65poe1i9k50_1713816144_2.2.0.2.801109,0.0518028847705317,0.7675489208871281,9,182.955,8,0.2175,268.9,0.1197856193322367,100015,2721.6660432422973,5,686.65,38.36,0.2325,38.2275,50.65379281133618,123.9203453961584,78.0,1,1536.98,258.6167484208833,6,3,0.001815929966939,20.29937500000001,1,7714
2856469-17531568_coh948ruk65poe7i75qg_1713541667_2.2.0.2.801109,0.0563471377176921,0.605163812198184,0,288.3066666666667,3,0.1533333333333333,397.16,0.2163802813957739,100018,1575.7805311890836,3,358.56,17.7,0.5233333333333333,96.23666666666666,59.63182066493456,204.10129984977365,2.0,9,910.56,177.1136187291427,4,3,0.0051105041479312,16.088333333333328,1,9662
2856469-22099652_coidu03uk65poe0mjus0_1713692416_2.2.0.2.801109,0.1005025125628136,0.8107002925647234,0,43.333333333333336,3,0.1666666666666666,611.0,0.1148769187982879,100006,3703.5422222222223,0,618.31,10.59,0.18,37.89333333333333,44.01918955311586,138.52457565565356,61.0,5,130.0,115.5861846281294,2,2,0.018595041322314,10.814333333333366,1,16811
2856469-21443971_cogh1t71ha8chrujt8jg_1713443060_2.2.0.1.800287,0.0636375206821942,0.7603386809269161,0,105.5,2,0.055,350.0,0.115530303030303,100015,3071.393333333333,0,101.02,3.12,0.165,73.36500000000001,22.630314020007148,127.14800949091872,0.0,18,211.0,130.3735731318977,2,2,0.0002278390886436,13.166000000000013,1,15652
2856469-39220647_coiajqruk65poe0jdm1g_1713678827_2.2.0.2.801109,0.0497805741064429,0.6653022891215178,2,328.3525,16,0.190625,553.18,0.2579683656213278,100021,2068.3206920101,28,596.15,111.09,0.4625,44.04625,35.17420823533865,105.26383764629374,113.0,1,5935.93,392.9086695323373,19,4,0.0146102135503398,20.857750000000003,1,43540
2856469-30172715_coge1uf1ha8chrugnr70_1713430777_2.2.0.1.798577,0.0833008421895287,0.7279290940978709,4,196.8325,12,0.0866666666666666,1603.69,0.0830233131747992,100003,1351.423756445932,7,887.87,52.78,0.3316666666666666,51.84583333333333,41.38958157456053,115.6230854781641,584.0,3,2475.56,310.0073945696998,18,4,0.9054602306474526,16.838916666666673,1,27763
2856469-42761698_cokulajuk65poe2pgak0_1714023082_2.2.0.2.801109,0.0506358289613551,0.8325100648745533,3,217.43105263157892,19,0.1705263157894737,353.66,0.0773933140583109,100006,3285.459613384,11,1180.35,83.15,0.5405263157894736,35.800000000000004,32.20691373608964,91.0549243246589,54.0,1,4131.19,278.8210307163312,19,5,14.222462397804966,15.89384210526316,1,64989
2856469-42558872_coh9km3uk65poe7ir5t0_1713543768_2.2.0.2.801109,0.0620000794149777,0.7232422299577635,4,215.4342857142857,14,0.1742857142857143,404.69,0.1695150572471911,100009,4725.29694201277,11,1002.19,69.04,0.3878571428571428,31.83714285714285,23.847240476753523,74.10726005876806,55.0,1,3016.07,296.9600510998311,8,2,0.007225710126053,15.63549999999998,1,58691
2856469-25574731_coj40tbuk65poe1amld0_1713782901_2.2.0.2.801109,0.1124945706697524,0.888360086698221,1,85.0,3,0.1433333333333333,434.0,0.0086580086580086,100015,873.7868571428571,1,205.62,7.17,0.3566666666666667,90.57333333333334,67.7529526850935,213.92069296401385,0.0,13,370.5,40.98132647023325,3,2,0.0069646171119457,13.227333333333329,1,21510
2856469-34961252_coh69gruk65poe7el5u0_1713530051_2.2.0.2.801109,0.0894856896771431,0.6388660531552277,4,191.5342857142857,7,0.1657142857142857,217.49,0.2159650754763889,100006,3338.416339661802,7,1039.97,46.16,0.3742857142857143,58.50714285714286,34.88217288915668,135.119445398227,148.0,1,1383.44,266.8556892024907,6,2,0.0153190547899145,14.672571428571407,1,35509
2856469-21443971_coge5nf1ha8chrugrh0g_1713431261_2.2.0.1.798577,0.0519258537637478,0.7956826924084137,1,125.7381818181818,11,0.2109090909090909,430.6,0.106909816947367,100015,4422.915669059011,6,998.02,43.88,0.5327272727272727,31.364545454545453,29.809644548288794,92.11777881587965,222.0,1,1560.32,189.62506385505475,7,5,0.0679028020938475,13.510454545454534,1,15647
2856469-38663869_cok4m0buk65poe25joc0_1713916673_2.2.0.2.801109,0.0896572483298374,0.6119776019313747,0,149.0,4,0.0525,557.0,0.2305255520211112,100006,552.0401948051949,1,209.11,9.55,0.1725,98.145,108.70861900979884,271.8469023168935,82.0,8,596.0,181.22833440297035,3,3,0.0108468205878292,17.700499999999995,1,42200
2856469-42761698_cok386ruk65poe24k9ig_1713910811_2.2.0.2.801109,0.0085309054860341,0.8834485192405774,5,254.5188888888889,9,0.0522222222222222,41.5,0.0156843250029247,100025,1910.9734591959696,9,878.39,59.73,0.5988888888888888,25.24777777777778,22.06010520558899,64.69634428106184,0.0,1,2793.67,169.1390972315726,6,5,0.0295443402726605,19.61522222222224,1,64964
2856469-18528789_colguoditd9mo504m36g_1714098017_2.2.0.3.804910,0.0427836139577647,0.7580846928725933,2,132.10153846153847,13,0.1215384615384615,522.28,0.053969554197672,100006,5229.362955531024,7,839.12,43.48,0.3476923076923077,34.97846153846155,29.873623535567187,87.77978093361912,0.0,7,1717.35,276.9604262078039,9,2,3.55302939400315e-05,13.075923076923074,1,10910
2856469-27260833_col9d2ditd9mo57vt2dg_1714067081_2.2.0.3.804910,0.0925725511357624,0.6817724852970227,1,342.09090909090907,11,0.2809090909090909,1162.24,0.1726570801650595,100006,1538.45401370515,14,701.33,72.49,0.3872727272727272,52.41090909090909,77.0173950615589,174.79833802907808,206.0,4,3763.0,220.03517593852743,19,5,0.0068488726760588,19.682727272727263,1,23776
2856469-41779997_cok29l3uk65poe2403fg_1713906900_2.2.0.2.801109,0.1029662463311151,0.746587597326989,4,200.32,5,0.188,354.42,0.1435528702199247,100006,2448.6022911764708,1,881.45,29.38,0.394,39.346,41.74044531116128,110.452903116193,193.0,1,1001.6,316.6137930193794,3,3,0.0015804024814487,13.551200000000028,1,51943
2856469-21443971_col86b8e1rllvr0oq0e0_1714062125_2.2.0.3.804910,0.0375842669394359,0.7774387684593294,0,182.772,5,0.25,590.84,0.1088700145741293,100009,2122.9347460317463,1,513.83,17.31,0.2259999999999999,55.316,36.087665455009066,120.70568361336072,0.0,10,913.81,163.33307805783315,4,2,0.0114125578670988,16.267999999999983,1,15698
2856469-40050917_col86b8e1rllvr0oq0e0_1714062125_2.2.0.3.804910,0.0782178084482722,0.552583485110421,11,179.3815789473684,19,0.1521052631578947,1592.31,0.3148604376940146,100006,1632.9790804925208,12,1010.81,76.88,0.4447368421052632,31.89,41.70872387263045,86.37259046288618,252.0,1,3428.25,354.6092184873396,7,3,0.032709756876674,14.538578947368435,1,45660
2856469-38663869_coiof8buk65poe11m2f0_1713735585_2.2.0.2.801109,0.1135063984763626,0.5562619014413751,2,348.60799999999995,5,0.192,522.0,0.2981357350011939,100006,868.190516499582,8,370.28,35.77,0.3279999999999999,57.34,59.04811840015869,169.35056542034258,11.0,10,1751.04,256.1876506772043,12,3,0.0331120059487987,26.824400000000004,1,42185
2856469-41827534_col9ciditd9mo57vsm40_1714067017_2.2.0.3.804910,0.0294785867713923,0.7645938280534977,5,516.7735714285715,14,0.1721428571428571,348.78,0.1039301696629457,100024,2883.825349586505,24,841.67,127.97,0.3764285714285714,28.718571428571423,26.793618363272994,76.07883906018328,18.0,1,7509.62,316.2426442264508,8,3,0.0004012613791332,31.79742857142856,1,52283
2856469-21443971_coj5roruk65poe1cbi70_1713790435_2.2.0.2.801109,0.0491923748964606,0.7850105974115039,2,217.93666666666667,15,0.19,1231.37,0.0870151978584094,100004,2429.025020921856,15,873.02,75.05,0.3466666666666667,33.83266666666667,34.726532820293684,95.14227058603797,161.0,3,3589.34,193.3806184687276,19,3,0.0061165230754584,17.668466666666664,1,15687
2856469-31020899_cohp87juk65poe01nb6g_1713607710_2.2.0.2.801109,0.098690703335746,0.8486739860630672,0,111.55,2,0.05,400.0,0.0476906659791303,100025,133.52,1,485.03,11.74,0.12,73.42,89.51430815543743,207.48637090613707,0.0,5,428.1,0.0,3,2,0.0003767456888237,12.808999999999996,1,29106
2856469-30806924_coj6o1juk65poe1d8fug_1713794054_2.2.0.2.801109,0.0749337449799394,0.7759881523698937,7,134.95,10,0.123,988.68,0.1200404794735401,100025,1981.953308312448,4,844.58,42.16,0.305,35.541000000000004,48.126465072999096,112.100721383912,122.0,1,1671.5,256.0202392065232,9,2,2.3795359904818603e-05,15.183199999999982,1,28687
2856469-31776507_coj6o1juk65poe1d8fug_1713794054_2.2.0.2.801109,0.1171638148864272,0.6779190768425066,3,229.213125,16,0.110625,929.97,0.1910141975201106,100006,1994.8054102552032,16,970.35,80.76,0.330625,42.9,55.98877292771427,121.45575252473542,251.0,1,3667.47,351.8689845335439,19,2,0.0002179961033073,17.31718750000001,1,30447
2856469-41530693_coj6o1juk65poe1d8fug_1713794054_2.2.0.2.801109,0.0375669879799865,0.6207155119214206,8,125.25545454545454,11,0.1354545454545454,1408.0,0.2689560792398793,100013,3349.417514994442,3,732.92,35.38,0.2945454545454545,66.10454545454546,59.461180196467765,174.34973196344436,0.0,1,1422.79,299.9042868181656,11,4,0.0993991119437145,14.165363636363638,1,50693
2856469-12097765_cogk4t71ha8chrunvndg_1713455732_2.2.0.1.800287,0.073291017412664,0.7870164908282065,4,159.651,10,0.133,1056.77,0.1219267763171921,100018,2689.4418690043526,10,815.64,56.86,0.4600000000000001,40.454,39.124649497613134,105.9596317494108,259.0,1,2564.52,350.6817367339693,7,4,4.546363413756401,14.982899999999995,1,3344
2856469-21622929_cojb24ruk65poe1he7v0_1713811731_2.2.0.2.801109,0.1118323784146611,0.8384079571935644,1,188.7833333333333,3,0.1733333333333333,808.42,0.0400722074860005,100027,3153.136797385621,1,469.93,15.92,0.2733333333333334,67.09333333333335,54.302765144723736,135.30677259332558,96.0,5,823.15,59.86886925384226,6,4,0.0272557647132478,19.32533333333332,1,15969
2856469-31020899_cogbh071ha8chrue9h6g_1713420416_2.2.0.1.798577,0.0221160651096957,0.8812640199580164,1,60.13,4,0.1675,929.45,0.0481601202124685,100025,8063.614318181818,2,971.35,28.17,0.2025,41.3,43.85949022662609,127.05384849215532,35.0,4,656.12,78.19247183724548,2,2,0.0281960069444444,12.132500000000022,1,29086
2856469-33235744_coh6jljuk65poe7f10b0_1713531350_2.2.0.1.800287,0.0888339970227882,0.7547575525269279,8,456.3716666666666,12,0.1666666666666666,252.9,0.0902804038369847,100006,2119.586999055326,19,677.01,97.66,0.3841666666666667,37.84583333333334,32.20266662660351,92.60198309614177,53.0,1,5540.53,325.83482199379813,22,4,0.0156477463161616,26.84275,1,32789
2856469-12944586_cog8upf1ha8chrubhj80_1713409893_2.2.0.1.798577,0.0564377649794094,0.6715648800260489,0,349.22400000000005,5,0.144,438.7,0.1717747312775219,100006,2555.9926149183334,6,392.41,31.54,0.368,67.822,67.59947596872851,181.08939375721653,0.0,9,1746.15,171.66416442581044,4,3,0.0113211297327884,23.312,1,4391
2856469-40725552_cogqdiv1ha8chruuet50_1713481419_2.2.0.1.800287,0.0333732891977171,0.7326782739138187,0,166.33333333333334,3,0.0366666666666666,350.0,0.1239125890677929,100027,1198.3950877192983,1,146.68,9.7,0.2533333333333333,79.15333333333334,77.80461363903841,174.35370318305436,0.0,16,523.0,78.59237804511552,5,2,0.006842695717993,16.65166666666666,1,47357
2856469-9849445_cohjsqbuk65poe7siu9g_1713585769_2.2.0.2.801109,0.022172857927255,0.7681480955621035,9,198.27266666666668,15,0.1833333333333333,757.75,0.1474143921617574,100013,4812.721581177062,11,800.66,64.59,0.452,44.35066666666667,48.207266999015474,129.80748154075914,316.0,1,2974.11,234.22457218080743,14,4,6.006441895361777,17.529866666666667,1,72397
2856469-25574731_coj4duruk65poe1b1j30_1713784571_2.2.0.2.801109,0.0821895290539983,0.8405797101449275,0,116.0,1,0.0,700.0,0.0,100015,743.5333333333333,0,223.88,4.65,0.19,170.57,64.78572897692176,309.41336120266,0.0,5,241.29,0.0,2,2,0.0004809172052939,12.16700000000003,1,21511
2856469-41590240_cohppfjuk65poe0286cg_1713609918_2.2.0.2.801109,0.0514272437411119,0.8024108745092327,6,263.39363636363635,11,0.1927272727272727,238.39,0.0726628583814978,100025,3418.254844749541,10,1016.54,71.64,0.2954545454545454,38.35090909090909,27.341576400446176,89.12858113112948,0.0,1,3489.68,268.1770808988182,10,3,0.0009686542467168,22.803727272727272,1,51017
2856469-34129861_coilutruk65poe0vgas0_1713725303_2.2.0.2.801109,0.1062316088103448,0.6986498610465856,4,274.843,10,0.129,467.48,0.1309363735260225,100003,902.8903068414622,11,905.11,62.94,0.442,67.572,41.28605079491384,148.69161648756034,90.0,1,2798.01,270.7266561328712,15,6,0.0109390574842415,16.81750000000001,1,34250
2856469-17531568_coi2dfjuk65poe0c24ug_1713645246_2.2.0.2.801109,0.0292671505502224,0.8372549019607843,0,116.95,2,0.0,725.0,0.0600490196078431,100021,1409.074,0,151.68,3.86,0.27,55.290000000000006,71.08730445621643,169.8047666398953,0.0,16,233.9,15.807803748444554,2,2,0.0039062499999999,14.8515,1,9667
2856469-41827534_cokt6rruk65poe2oduf0_1714017135_2.2.0.2.801109,0.0030091478093403,0.8220664898044365,3,369.627,10,0.322,348.93,0.0873224372361569,100024,4058.036566606658,16,702.75,74.59,0.429,32.022000000000006,17.645715966935068,63.498686988256544,127.0,1,3769.27,297.9725790044155,9,2,0.0113270408163265,23.910900000000023,1,52282
2856469-19037152_coinfqjuk65poe10spfg_1713731562_2.2.0.2.801109,0.0198903818503662,0.6966892148139261,2,191.56,11,0.1699999999999999,829.39,0.1879227816397234,100029,3381.37217001332,8,904.85,50.52,0.2836363636363636,62.38272727272727,38.07544545424217,129.2128392973938,36.0,2,2107.01,267.3035774948815,10,3,0.0122556446888386,18.216454545454564,1,11738
2856469-30806924_coh7jtjuk65poe7g94hg_1713535478_2.2.0.2.801109,0.0958883355166328,0.7613130735453526,8,200.58,7,0.0728571428571428,512.1,0.1218952021951827,100025,2954.5450630428063,4,675.26,36.09,0.3014285714285714,61.64428571428572,28.71229964729131,111.63822233135456,235.0,1,1538.1,301.4515170100528,5,3,0.000590611187319,18.62257142857141,1,28660
2856469-12544485_col12bo6m0l5rvearbng_1714032943_2.2.0.2.801109,0.0392874643763347,0.845017422561992,3,439.3125,8,0.23,147.01,0.017286799565866,100003,1691.8161681012596,17,855.02,77.35,0.47125,32.748749999999994,29.41446813915472,89.71407091037923,45.0,1,3514.5,368.756553962367,9,2,0.0046986042801238,22.75962500000002,1,3959
2856469-9849445_cojh7sbuk65poe1luvs0_1713837041_2.2.0.2.801109,0.0343700717928119,0.6703967287922066,4,169.528,15,0.2386666666666666,230.84,0.2578218611155486,100013,4379.540307142857,9,905.71,58.6,0.508,45.02933333333333,55.37281533273586,140.7014208784813,43.0,1,2563.32,389.1102902486224,15,5,2.56316563386469,13.024599999999992,1,72423
2856469-39237486_cohp5o3uk65poe01kqs0_1713607392_2.2.0.2.801109,0.0739098300073909,0.8541114058355438,0,135.0,1,0.0,350.0,0.053050397877984,100025,771.8588235294121,0,51.98,2.77,0.6,48.22,38.50543902427426,100.78088358972596,0.0,9,175.0,0.0,2,2,4.515625,13.53,1,43594
2856469-42180632_cokhj43uk65poe2fkju0_1713969552_2.2.0.2.801109,0.0628540509700788,0.704929412890348,2,200.135,6,0.1866666666666666,962.0,0.1476860869321656,100006,2147.4942976380344,4,591.4,27.62,0.2566666666666666,47.615,48.38409110339794,120.9554258183,229.0,6,1200.81,147.91398740651297,10,5,0.3859386656928171,16.839500000000005,1,54687
2856469-21622929_coklvsjuk65poe2jg070_1713987570_2.2.0.2.801109,0.0785936712133323,0.7871420107182322,5,193.17,4,0.3075,899.0,0.0528388840742551,100027,2651.143922619048,0,435.9,15.88,0.275,34.2025,40.22119350731513,85.18163789242573,24.0,7,817.69,83.79833626877817,6,4,0.095812706212257,16.340999999999983,1,15989
2856469-41827534_cok8vrjuk65poe28qu70_1713934318_2.2.0.2.801109,0.0286553703194064,0.8624422345068774,0,254.768,5,0.13,313.0,0.0478417307736733,100025,1463.452469374597,7,859.62,41.24,0.386,24.658000000000005,27.373184594220685,81.01417372248318,150.0,1,1542.55,158.97947683960422,5,5,0.0678075069664877,16.433400000000013,1,52268
2856469-33235744_cojc53buk65poe1i9uj0_1713816205_2.2.0.2.801109,0.054009511235651,0.6860090494493568,6,247.66166666666663,12,0.1591666666666666,861.76,0.1455553552469275,100027,2413.245477285183,17,717.85,78.46,0.3808333333333333,79.63666666666667,44.37749910699908,171.31868469912376,120.0,1,3818.55,395.49294229763245,13,2,0.0001452756128572,18.04975,1,32824
