iter	Passed	Remaining
0	3	3783
1	7	3670
2	11	3655
3	14	3669
4	18	3664
5	22	3652
6	25	3673
7	29	3691
8	33	3697
9	37	3692
10	41	3724
11	45	3725
12	49	3723
13	52	3718
14	56	3708
15	59	3689
16	63	3669
17	67	3659
18	70	3644
19	74	3638
20	77	3626
21	81	3621
22	85	3616
23	88	3606
24	92	3595
25	95	3582
26	99	3570
27	102	3562
28	106	3560
29	109	3552
30	113	3535
31	116	3528
32	120	3517
33	123	3515
34	127	3507
35	130	3500
36	134	3495
37	137	3482
38	141	3474
39	144	3466
40	148	3462
41	151	3451
42	154	3445
43	158	3439
44	161	3431
45	165	3425
46	168	3420
47	172	3413
48	175	3405
49	179	3402
50	182	3398
51	186	3394
52	189	3388
53	193	3383
54	196	3377
55	199	3369
56	203	3363
57	206	3360
58	210	3352
59	213	3347
60	216	3339
61	220	3330
62	223	3328
63	227	3323
64	230	3318
65	234	3312
66	237	3306
67	240	3301
68	244	3297
69	247	3293
70	251	3287
71	254	3282
72	258	3277
73	261	3273
74	264	3267
75	268	3263
76	271	3259
77	275	3255
78	278	3251
79	282	3245
80	285	3242
81	289	3236
82	292	3231
83	295	3225
84	299	3219
85	302	3214
86	305	3209
87	308	3202
88	312	3197
89	315	3191
90	319	3186
91	322	3182
92	325	3178
93	329	3175
94	332	3171
95	336	3168
96	339	3164
97	343	3160
98	346	3155
99	350	3151
100	353	3145
101	357	3143
102	360	3140
103	363	3135
104	367	3131
105	370	3127
106	374	3122
107	377	3118
108	380	3113
109	384	3109
110	387	3105
111	391	3100
112	394	3095
113	397	3090
114	400	3085
115	404	3082
116	407	3078
117	411	3074
118	414	3070
119	417	3064
120	421	3059
121	424	3053
122	427	3045
123	430	3040
124	433	3033
125	436	3028
126	439	3021
127	442	3016
128	445	3010
129	449	3006
130	452	2999
131	455	2994
132	458	2989
133	461	2984
134	465	2979
135	468	2974
136	471	2969
137	474	2966
138	478	2962
139	481	2958
140	484	2954
141	488	2949
142	491	2945
143	494	2941
144	498	2937
145	501	2933
146	504	2929
147	508	2925
148	511	2920
149	514	2914
150	517	2909
151	520	2902
152	523	2896
153	526	2892
154	529	2888
155	533	2884
156	536	2879
157	539	2874
158	542	2869
159	545	2864
160	548	2860
161	551	2854
162	554	2849
163	557	2844
164	561	2839
165	564	2834
166	567	2830
167	570	2826
168	573	2821
169	577	2817
170	580	2812
171	583	2807
172	586	2802
173	589	2796
174	592	2792
175	595	2788
176	598	2785
177	602	2780
178	605	2775
179	608	2771
180	611	2767
181	614	2764
182	618	2759
183	621	2756
184	624	2751
185	627	2748
186	631	2744
187	634	2740
188	638	2737
189	641	2733
190	644	2731
191	647	2726
192	651	2722
193	654	2718
194	657	2714
195	660	2711
196	664	2707
197	667	2703
198	670	2699
199	674	2696
200	677	2692
201	680	2689
202	684	2685
203	687	2682
204	691	2679
205	694	2675
206	697	2671
207	700	2667
208	703	2662
209	706	2657
210	709	2653
211	712	2648
212	715	2644
213	718	2640
214	722	2636
215	725	2633
216	728	2630
217	732	2626
218	735	2623
219	738	2619
220	742	2616
221	745	2613
222	748	2609
223	752	2605
224	755	2601
225	758	2598
226	762	2595
227	765	2591
228	768	2587
229	771	2584
230	775	2580
231	778	2576
232	781	2572
233	784	2568
234	787	2564
235	791	2561
236	794	2556
237	797	2553
238	800	2549
239	803	2545
240	807	2542
241	810	2539
242	814	2536
243	817	2532
244	820	2528
245	823	2525
246	827	2522
247	830	2518
248	834	2515
249	837	2512
250	840	2509
251	844	2506
252	847	2503
253	850	2498
254	854	2495
255	857	2492
256	861	2489
257	864	2485
258	867	2481
259	870	2478
260	874	2475
261	877	2472
262	881	2469
263	884	2465
264	887	2462
265	891	2458
266	894	2455
267	897	2451
268	900	2447
269	903	2444
270	907	2440
271	910	2437
272	914	2434
273	917	2431
274	920	2427
275	924	2424
276	927	2421
277	931	2418
278	934	2414
279	937	2411
280	940	2407
281	944	2403
282	947	2399
283	949	2395
284	952	2390
285	955	2386
286	959	2383
287	962	2379
288	965	2375
289	968	2372
290	972	2368
291	975	2365
292	978	2361
293	981	2357
294	985	2354
295	988	2351
296	992	2348
297	995	2345
298	998	2341
299	1002	2338
300	1005	2334
301	1008	2331
302	1012	2328
303	1015	2324
304	1018	2321
305	1021	2317
306	1025	2314
307	1028	2310
308	1031	2307
309	1035	2303
310	1038	2300
311	1041	2297
312	1044	2293
313	1048	2289
314	1051	2286
315	1054	2282
316	1058	2279
317	1061	2276
318	1064	2272
319	1067	2269
320	1071	2266
321	1074	2262
322	1078	2259
323	1081	2256
324	1084	2252
325	1088	2249
326	1091	2246
327	1094	2243
328	1098	2239
329	1101	2235
330	1104	2232
331	1107	2229
332	1111	2225
333	1114	2222
334	1118	2219
335	1121	2216
336	1124	2212
337	1127	2208
338	1130	2205
339	1134	2201
340	1137	2197
341	1140	2193
342	1143	2189
343	1146	2186
344	1149	2182
345	1152	2178
346	1156	2175
347	1159	2172
348	1162	2169
349	1166	2165
350	1169	2162
351	1172	2158
352	1176	2155
353	1179	2152
354	1182	2149
355	1186	2145
356	1189	2141
357	1192	2138
358	1195	2135
359	1199	2131
360	1202	2128
361	1205	2124
362	1209	2121
363	1212	2118
364	1215	2115
365	1219	2111
366	1222	2108
367	1225	2105
368	1228	2101
369	1232	2097
370	1235	2094
371	1238	2090
372	1241	2087
373	1245	2083
374	1248	2080
375	1251	2077
376	1255	2074
377	1258	2071
378	1262	2067
379	1265	2064
380	1268	2060
381	1271	2056
382	1274	2053
383	1277	2049
384	1280	2046
385	1284	2043
386	1287	2039
387	1291	2036
388	1294	2033
389	1297	2029
390	1301	2026
391	1304	2023
392	1307	2019
393	1311	2016
394	1314	2013
395	1317	2010
396	1321	2006
397	1324	2003
398	1327	2000
399	1331	1996
400	1334	1993
401	1337	1990
402	1340	1986
403	1344	1983
404	1347	1980
405	1351	1976
406	1354	1973
407	1357	1970
408	1361	1966
409	1364	1963
410	1367	1959
411	1370	1956
412	1374	1953
413	1377	1949
414	1380	1946
415	1384	1943
416	1387	1939
417	1390	1936
418	1394	1933
419	1397	1929
420	1400	1926
421	1404	1923
422	1407	1920
423	1411	1917
424	1414	1913
425	1417	1910
426	1420	1906
427	1423	1903
428	1427	1899
429	1430	1896
430	1434	1893
431	1437	1890
432	1441	1886
433	1444	1883
434	1447	1880
435	1451	1877
436	1454	1873
437	1457	1870
438	1460	1866
439	1463	1863
440	1467	1859
441	1470	1856
442	1474	1853
443	1477	1849
444	1480	1846
445	1484	1843
446	1487	1840
447	1490	1836
448	1493	1833
449	1497	1830
450	1500	1826
451	1503	1822
452	1506	1819
453	1509	1815
454	1512	1812
455	1516	1808
456	1519	1805
457	1522	1801
458	1525	1798
459	1528	1794
460	1532	1791
461	1535	1787
462	1538	1784
463	1541	1780
464	1544	1777
465	1548	1774
466	1551	1770
467	1554	1767
468	1558	1764
469	1560	1760
470	1564	1756
471	1567	1753
472	1570	1749
473	1573	1746
474	1576	1742
475	1579	1738
476	1582	1735
477	1586	1732
478	1589	1728
479	1592	1725
480	1596	1722
481	1599	1718
482	1602	1715
483	1605	1712
484	1609	1708
485	1612	1705
486	1615	1701
487	1618	1698
488	1622	1695
489	1625	1691
490	1628	1688
491	1631	1684
492	1635	1681
493	1638	1678
494	1641	1674
495	1644	1671
496	1647	1667
497	1651	1664
498	1654	1661
499	1657	1657
500	1661	1654
501	1664	1650
502	1667	1647
503	1670	1644
504	1673	1640
505	1677	1637
506	1680	1634
507	1683	1630
508	1686	1627
509	1690	1624
510	1693	1620
511	1697	1617
512	1700	1614
513	1703	1610
514	1707	1607
515	1710	1604
516	1713	1600
517	1716	1597
518	1720	1594
519	1723	1590
520	1726	1587
521	1729	1583
522	1732	1580
523	1735	1576
524	1738	1573
525	1742	1569
526	1745	1566
527	1748	1563
528	1752	1560
529	1755	1556
530	1758	1553
531	1762	1550
532	1765	1546
533	1768	1543
534	1772	1540
535	1775	1536
536	1778	1533
537	1781	1530
538	1785	1526
539	1788	1523
540	1791	1520
541	1794	1516
542	1798	1513
543	1801	1510
544	1804	1506
545	1808	1503
546	1811	1500
547	1814	1496
548	1817	1493
549	1820	1489
550	1823	1486
551	1826	1482
552	1830	1479
553	1833	1475
554	1836	1472
555	1839	1468
556	1842	1465
557	1845	1461
558	1848	1458
559	1851	1455
560	1854	1451
561	1858	1448
562	1861	1445
563	1865	1441
564	1868	1438
565	1871	1434
566	1874	1431
567	1877	1428
568	1880	1424
569	1884	1421
570	1887	1417
571	1890	1414
572	1893	1411
573	1897	1408
574	1900	1404
575	1903	1401
576	1907	1398
577	1910	1394
578	1913	1391
579	1916	1388
580	1920	1384
581	1923	1381
582	1926	1378
583	1929	1374
584	1933	1371
585	1936	1367
586	1939	1364
587	1942	1361
588	1946	1358
589	1949	1354
590	1952	1351
591	1955	1348
592	1959	1344
593	1962	1341
594	1965	1338
595	1969	1334
596	1972	1331
597	1975	1328
598	1979	1324
599	1982	1321
600	1985	1318
601	1988	1314
602	1992	1311
603	1995	1308
604	1998	1304
605	2001	1301
606	2004	1298
607	2008	1294
608	2011	1291
609	2014	1288
610	2017	1284
611	2021	1281
612	2024	1278
613	2027	1274
614	2031	1271
615	2034	1268
616	2037	1264
617	2040	1261
618	2044	1258
619	2047	1254
620	2050	1251
621	2053	1248
622	2057	1244
623	2060	1241
624	2063	1237
625	2066	1234
626	2069	1231
627	2072	1227
628	2076	1224
629	2079	1221
630	2082	1217
631	2086	1214
632	2089	1211
633	2092	1208
634	2095	1204
635	2099	1201
636	2102	1198
637	2105	1194
638	2109	1191
639	2112	1188
640	2115	1184
641	2118	1181
642	2121	1177
643	2124	1174
644	2127	1171
645	2131	1167
646	2134	1164
647	2137	1161
648	2140	1157
649	2143	1154
650	2146	1150
651	2149	1147
652	2153	1144
653	2156	1140
654	2159	1137
655	2163	1134
656	2166	1131
657	2169	1127
658	2172	1124
659	2175	1120
660	2178	1117
661	2181	1113
662	2184	1110
663	2187	1107
664	2191	1103
665	2194	1100
666	2197	1097
667	2200	1093
668	2203	1090
669	2207	1087
670	2210	1083
671	2213	1080
672	2216	1077
673	2220	1073
674	2223	1070
675	2226	1067
676	2229	1063
677	2233	1060
678	2236	1057
679	2239	1053
680	2242	1050
681	2246	1047
682	2249	1044
683	2252	1040
684	2255	1037
685	2259	1034
686	2262	1030
687	2265	1027
688	2269	1024
689	2272	1020
690	2275	1017
691	2278	1014
692	2281	1010
693	2285	1007
694	2288	1004
695	2291	1000
696	2294	997
697	2298	994
698	2301	991
699	2304	987
700	2307	984
701	2311	981
702	2314	977
703	2317	974
704	2321	971
705	2324	967
706	2327	964
707	2330	961
708	2333	957
709	2336	954
710	2340	951
711	2343	947
712	2346	944
713	2349	941
714	2352	937
715	2356	934
716	2359	931
717	2362	927
718	2365	924
719	2369	921
720	2372	918
721	2375	914
722	2378	911
723	2382	908
724	2385	904
725	2388	901
726	2392	898
727	2395	895
728	2398	891
729	2402	888
730	2405	885
731	2408	881
732	2412	878
733	2415	875
734	2418	871
735	2421	868
736	2424	865
737	2428	862
738	2431	858
739	2435	855
740	2438	852
741	2441	848
742	2444	845
743	2447	842
744	2451	838
745	2454	835
746	2457	832
747	2460	829
748	2464	825
749	2467	822
750	2470	819
751	2474	815
752	2477	812
753	2480	809
754	2483	805
755	2486	802
756	2490	799
757	2493	796
758	2496	792
759	2499	789
760	2502	786
761	2506	782
762	2509	779
763	2513	776
764	2516	773
765	2519	769
766	2522	766
767	2526	763
768	2529	759
769	2532	756
770	2536	753
771	2539	749
772	2542	746
773	2545	743
774	2549	740
775	2552	736
776	2555	733
777	2558	730
778	2561	726
779	2564	723
780	2567	720
781	2570	716
782	2573	713
783	2576	709
784	2580	706
785	2583	703
786	2586	699
787	2589	696
788	2592	693
789	2596	690
790	2599	686
791	2602	683
792	2606	680
793	2609	677
794	2612	673
795	2616	670
796	2619	667
797	2622	663
798	2625	660
799	2629	657
800	2632	653
801	2635	650
802	2638	647
803	2641	644
804	2645	640
805	2648	637
806	2651	634
807	2654	630
808	2658	627
809	2661	624
810	2664	621
811	2668	617
812	2671	614
813	2674	611
814	2677	607
815	2680	604
816	2683	601
817	2687	597
818	2690	594
819	2693	591
820	2696	587
821	2699	584
822	2702	581
823	2705	577
824	2708	574
825	2712	571
826	2715	567
827	2718	564
828	2721	561
829	2725	558
830	2728	554
831	2731	551
832	2734	548
833	2738	544
834	2741	541
835	2744	538
836	2747	535
837	2750	531
838	2754	528
839	2757	525
840	2760	521
841	2764	518
842	2767	515
843	2770	512
844	2773	508
845	2776	505
846	2780	502
847	2783	498
848	2786	495
849	2789	492
850	2792	488
851	2795	485
852	2798	482
853	2801	478
854	2804	475
855	2807	472
856	2810	468
857	2813	465
858	2816	462
859	2819	459
860	2823	455
861	2826	452
862	2829	449
863	2833	445
864	2836	442
865	2839	439
866	2843	436
867	2846	432
868	2849	429
869	2852	426
870	2855	422
871	2858	419
872	2862	416
873	2865	413
874	2868	409
875	2871	406
876	2874	403
877	2877	399
878	2880	396
879	2883	393
880	2886	389
881	2890	386
882	2893	383
883	2896	380
884	2899	376
885	2903	373
886	2906	370
887	2909	366
888	2912	363
889	2916	360
890	2919	357
891	2922	353
892	2925	350
893	2928	347
894	2931	343
895	2934	340
896	2937	337
897	2941	334
898	2944	330
899	2947	327
900	2951	324
901	2954	321
902	2957	317
903	2961	314
904	2964	311
905	2967	307
906	2971	304
907	2974	301
908	2977	298
909	2980	294
910	2984	291
911	2987	288
